,participant,discrim_missed_responses
sub-007,sub-007,0.0
sub-010,sub-010,0.0
sub-012,sub-012,0.0
sub-014,sub-014,2.0
sub-016,sub-016,1.0
sub-018,sub-018,0.0
sub-020,sub-020,0.0
sub-021,sub-021,0.0
sub-023,sub-023,0.0
sub-024,sub-024,0.0
sub-025,sub-025,0.0
sub-026,sub-026,0.0
sub-027,sub-027,0.0
sub-028,sub-028,0.0
sub-030,sub-030,0.0
sub-031,sub-031,0.0
sub-032,sub-032,0.0
sub-034,sub-034,0.0
sub-035,sub-035,0.0
sub-036,sub-036,0.0
sub-037,sub-037,0.0
sub-038,sub-038,0.0
sub-040,sub-040,0.0
sub-041,sub-041,0.0
sub-042,sub-042,0.0
sub-043,sub-043,0.0
sub-044,sub-044,1.0
sub-045,sub-045,0.0
sub-046,sub-046,0.0
sub-048,sub-048,0.0
sub-049,sub-049,0.0
sub-050,sub-050,0.0
sub-051,sub-051,0.0
sub-053,sub-053,0.0
sub-054,sub-054,0.0
sub-055,sub-055,0.0
sub-058,sub-058,0.0
sub-059,sub-059,0.0
sub-060,sub-060,0.0
sub-062,sub-062,0.0
sub-063,sub-063,0.0
sub-064,sub-064,0.0
sub-066,sub-066,0.0
sub-067,sub-067,0.0
sub-069,sub-069,0.0
